"exportador";"cnpj_do_exportador";"porte_do_exportador";"descricao_da_operacao";"uf";"pais_destino_das_exportacoes";"numero_da_operacao";"data_da_contratacao";"moeda_sigla";"fonte_de_recursos_desembolsos";"custo_financeiro";"setor_subsetor_de_atividade";"area_operacional";"modalidade_de_apoio";"forma_de_apoio";"produto";"modalidade_operacional";"mutuario";"categoria";"situacao_da_operacao";"tipo_de_garantia"
"MARCOPOLO SA";"88.611.835/0001-29";"GRANDE";"Exportação de bens";"RS";"BOLIVIA";"0865484";"2002-01-04";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"MAQUINAS AGRICOLAS JACTO S A";"55.064.562/0001-90";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"0938049";"2002-01-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"MAQUINAS AGRICOLAS JACTO S A";"55.064.562/0001-90";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"0938050";"2002-01-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"SCHULZ S/A";"84.693.183/0001-68";"GRANDE";"Exportação de bens";"SC";"ESTADOS UNIDOS";"0704109";"2002-01-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"VOLVO DO BRASIL VEICULOS LTDA";"43.999.424/0001-14";"GRANDE";"Exportação de bens";"PR";"ARGENTINA";"0894220";"2002-01-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"PERFIPAR S/A - MANUFATURADOS DE ACO";"95.816.963/0001-74";"GRANDE";"Exportação de bens";"PR";"ARGENTINA";"0935648";"2002-01-09";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Indireta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"CCR / ALADI"
"PERFIPAR S/A - MANUFATURADOS DE ACO";"95.816.963/0001-74";"GRANDE";"Exportação de bens";"PR";"ARGENTINA";"0935649";"2002-01-09";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Indireta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"CCR / ALADI"
"PERFIPAR S/A - MANUFATURADOS DE ACO";"95.816.963/0001-74";"GRANDE";"Exportação de bens";"PR";"ARGENTINA";"0935650";"2002-01-09";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Indireta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"CCR / ALADI"
"PERFIPAR S/A - MANUFATURADOS DE ACO";"95.816.963/0001-74";"GRANDE";"Exportação de bens";"PR";"ARGENTINA";"0935651";"2002-01-09";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Indireta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"CCR / ALADI"
"PERFIPAR S/A - MANUFATURADOS DE ACO";"95.816.963/0001-74";"GRANDE";"Exportação de bens";"PR";"ARGENTINA";"0935652";"2002-01-09";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Indireta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"CCR / ALADI"
"A CARNEVALLI CIA LTDA";"61.372.058/0001-50";"MÉDIA";"Exportação de bens";"SP";"PERU";"0914200";"2002-01-28";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"GNATUS EQUIPAMENTOS MEDICO ODONTOLOGICOS S/A";"48.015.119/0001-64";"MÉDIA";"Exportação de bens";"SP";"ARGENTINA";"0784214";"2002-02-04";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DIVERSOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"GE CELMA LTDA.";"33.435.231/0001-87";"GRANDE";"Exportação de bens";"RJ";"DIVERSOS";"0800289";"2002-02-05";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/MANUTENCAO, REPARACAO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"SCHULZ S/A";"84.693.183/0001-68";"GRANDE";"Exportação de bens";"SC";"ESTADOS UNIDOS";"0704109";"2002-02-06";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"MARCOPOLO SA";"88.611.835/0001-29";"GRANDE";"Exportação de bens";"RS";"ARGENTINA";"0948703";"2002-02-25";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA";"87.834.883/0001-13";"GRANDE";"Exportação de bens";"RS";"ESTADOS UNIDOS";"0923994";"2002-02-25";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA";"87.834.883/0001-13";"GRANDE";"Exportação de bens";"RS";"ESTADOS UNIDOS";"0923994";"2002-03-04";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"SCHULZ S/A";"84.693.183/0001-68";"GRANDE";"Exportação de bens";"SC";"ESTADOS UNIDOS";"0704109";"2002-03-07";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CATERPILLAR BRASIL LTDA";"61.064.911/0001-77";"GRANDE";"Exportação de bens";"SP";"PERU";"0770310";"2002-03-22";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"KARSTEN S/A";"82.640.558/0001-04";"GRANDE";"Exportação de bens";"SC";"ESTADOS UNIDOS";"0826517";"2002-03-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS TEXTEIS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PERU";"0932715";"2002-03-27";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"SCHULZ S/A";"84.693.183/0001-68";"GRANDE";"Exportação de bens";"SC";"ESTADOS UNIDOS";"0704109";"2002-04-04";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"GE CELMA LTDA.";"33.435.231/0001-87";"GRANDE";"Exportação de bens";"RJ";"DIVERSOS";"0800289";"2002-04-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/MANUTENCAO, REPARACAO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"MARCOPOLO TRADING SA";"87.004.594/0001-97";"GRANDE";"Exportação de bens";"RS";"REPUBLICA DOMINICANA";"0783370";"2002-04-11";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"SILEX TRADING S/A";"59.914.606/0001-85";"GRANDE";"Exportação de bens";"SP";"EQUADOR";"0643716";"2002-04-11";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"CCR / ALADI"
"VOLVO DO BRASIL VEICULOS LTDA";"43.999.424/0001-14";"GRANDE";"Exportação de bens";"PR";"REPUBLICA DOMINICANA";"0790751";"2002-04-11";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"EMBRAER S.A.";"07.689.002/0001-89";"GRANDE";"Exportação de bens";"SP";"DIVERSOS";"0918683";"2002-04-16";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Outras"
"TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA";"87.834.883/0001-13";"GRANDE";"Exportação de bens";"RS";"ALEMANHA";"0893599";"2002-04-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"KEPLER WEBER SA";"91.983.056/0001-69";"GRANDE";"Exportação de bens";"RS";"REPUBLICA DOMINICANA";"0788545";"2002-04-18";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"FURUKAWA ELECTRIC LATAM S.A.";"51.775.690/0001-91";"GRANDE";"Exportação de bens";"PR";"BOLIVIA";"0895738";"2002-04-19";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"VOLVO DO BRASIL VEICULOS LTDA";"43.999.424/0001-14";"GRANDE";"Exportação de bens";"PR";"JAMAICA";"0893591";"2002-04-25";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"KEPLER WEBER SA";"91.983.056/0001-69";"GRANDE";"Exportação de bens";"RS";"ARGENTINA";"0930618";"2002-04-29";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"KEPLER WEBER SA";"91.983.056/0001-69";"GRANDE";"Exportação de bens";"RS";"REPUBLICA DOMINICANA";"0788544";"2002-05-02";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PERU";"0947837";"2002-05-07";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CATERPILLAR BRASIL LTDA";"61.064.911/0001-77";"GRANDE";"Exportação de bens";"SP";"PERU";"0770310";"2002-05-07";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"KEPLER WEBER SA";"91.983.056/0001-69";"GRANDE";"Exportação de bens";"RS";"REPUBLICA DOMINICANA";"0914199";"2002-05-07";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"CONFAB INDUSTRIAL SOCIEDADE ANONIMA";"60.882.628/0001-90";"GRANDE";"Exportação de bens";"SP";"BOLIVIA";"0849930";"2002-05-09";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"COTIA TRADING S/A";"72.891.955/0001-97";"GRANDE";"Exportação de bens";"SP";"REPUBLICA DOMINICANA";"0747850";"2002-05-16";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"COTIA TRADING S/A";"72.891.955/0001-97";"GRANDE";"Exportação de bens";"SP";"REPUBLICA DOMINICANA";"0861413";"2002-05-16";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA";"59.876.003/0001-36";"GRANDE";"Exportação de bens";"RS";"PERU";"0955666";"2002-05-20";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CATERPILLAR BRASIL LTDA";"61.064.911/0001-77";"GRANDE";"Exportação de bens";"SP";"PERU";"0770310";"2002-05-20";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"SCHULZ S/A";"84.693.183/0001-68";"GRANDE";"Exportação de bens";"SC";"ESTADOS UNIDOS";"0704109";"2002-05-27";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/METALURGIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"IRIZAR BRASIL LTDA.";"02.301.582/0001-71";"GRANDE";"Exportação de bens";"SP";"PERU";"0934888";"2002-06-03";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CATERPILLAR BRASIL LTDA";"61.064.911/0001-77";"GRANDE";"Exportação de bens";"SP";"PERU";"0770310";"2002-06-04";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"COTIA TRADING S/A";"72.891.955/0001-97";"GRANDE";"Exportação de bens";"SP";"REPUBLICA DOMINICANA";"0934022";"2002-06-06";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"BOMAG MARINI EQUIPAMENTOS LTDA.";"87.960.167/0001-82";"GRANDE";"Exportação de bens";"RS";"ARGENTINA";"0942049";"2002-06-07";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ALSTOM HYDRO ENERGIA BRASIL LTDA";"44.682.318/0001-75";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"0627989";"2002-06-11";"US$ COMPRA";"FAT CAMBIAL";"Taxa flutuante em moeda estrangeira LIBOR 12";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"ALSTOM HYDRO ENERGIA BRASIL LTDA";"44.682.318/0001-75";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"0627989";"2002-06-11";"US$ COMPRA";"FAT CAMBIAL";"Taxa flutuante em moeda estrangeira LIBOR 12";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"MARCOPOLO TRADING SA";"87.004.594/0001-97";"GRANDE";"Exportação de bens";"RS";"VENEZUELA";"0841038";"2002-06-11";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA";"87.834.883/0001-13";"GRANDE";"Exportação de bens";"RS";"ALEMANHA";"0923995";"2002-06-21";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"MARCOPOLO SA";"88.611.835/0001-29";"GRANDE";"Exportação de bens";"RS";"CHILE";"0972554";"2002-06-25";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"MARCOPOLO SA";"88.611.835/0001-29";"GRANDE";"Exportação de bens";"RS";"URUGUAI";"0752627";"2002-06-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
